Manufacturer,Model,Type,Air Bags,Domestic,Manual,Drive Train,Price,CityMPG,HwyMPG,Weight,Cylinders,Engine Size,Horsepower,RPM,Rev,Fuel Capacity,Passengers,Length,Wheelbase,Width,U-turn
Acura,Integra,Small,None,No,Yes,Front,15.9,25,31,2705,4,1.8,140,6300,2890,13.2,5,177,102,68,37
Acura,Legend,Midsize,Both,No,Yes,Front,33.9,18,25,3560,6,3.2,200,5500,2335,18,5,195,115,71,38
Audi,90,Compact,Driver,No,Yes,Front,29.1,20,26,3375,6,2.8,172,5500,2280,16.9,5,180,102,67,37
Audi,100,Midsize,Both,No,Yes,Front,37.7,19,26,3405,6,2.8,172,5500,2535,21.1,6,193,106,70,37
BMW,535i,Midsize,Driver,No,Yes,Rear,30,22,30,3640,4,3.5,208,5700,2545,21.1,4,186,109,69,39
Buick,Century,Midsize,Driver,Yes,No,Front,15.7,22,31,2880,4,2.2,110,5200,2565,16.4,6,189,105,69,41
Buick,LeSabre,Large,Driver,Yes,No,Front,20.8,19,28,3470,6,3.8,170,4800,1570,18,6,200,111,74,42
Buick,Roadmaster,Large,Driver,Yes,No,Rear,23.7,16,25,4105,6,5.7,180,4000,1320,23,6,216,116,78,45
Buick,Riviera,Midsize,Driver,Yes,No,Front,26.3,19,27,3495,6,3.8,170,4800,1690,18.8,5,198,108,73,41
Cadillac,DeVille,Large,Driver,Yes,No,Front,34.7,16,25,3620,8,4.9,200,4100,1510,18,6,206,114,73,43
Cadillac,Seville,Midsize,Both,Yes,No,Front,40.1,16,25,3935,8,4.6,295,6000,1985,20,5,204,111,74,44
Chevrolet,Cavalier,Compact,None,Yes,Yes,Front,13.4,25,36,2490,4,2.2,110,5200,2380,15.2,5,182,101,66,38
Chevrolet,Corsica,Compact,Driver,Yes,Yes,Front,11.4,25,34,2785,4,2.2,110,5200,2665,15.6,5,184,103,68,39
Chevrolet,Camaro,Sporty,Both,Yes,Yes,Rear,15.1,19,28,3240,6,3.4,160,4600,1805,15.5,4,193,101,74,43
Chevrolet,Lumina,Midsize,None,Yes,No,Front,15.9,21,29,3195,4,2.2,110,5200,2595,16.5,6,198,108,71,40
Chevrolet,Lumina_APV,Van,None,Yes,No,Front,16.3,18,23,3715,6,3.8,170,4800,1690,20,7,178,110,74,44
Chevrolet,Astro,Van,None,Yes,No,All,16.6,15,20,4025,6,4.3,165,4000,1790,27,8,194,111,78,42
Chevrolet,Caprice,Large,Driver,Yes,No,Rear,18.8,17,26,3910,8,5,170,4200,1350,23,6,214,116,77,42
Chevrolet,Corvette,Sporty,Driver,Yes,Yes,Rear,38,17,25,3380,8,5.7,300,5000,1450,20,2,179,96,74,43
Chrylser,Concorde,Large,Both,Yes,No,Front,18.4,20,28,3515,6,3.3,153,5300,1990,18,6,203,113,74,40
Chrysler,LeBaron,Compact,Both,Yes,No,Front,15.8,23,28,3085,4,3,141,5000,2090,16,6,183,104,68,41
Chrysler,Imperial,Large,Driver,Yes,No,Front,29.5,20,26,3570,6,3.3,147,4800,1785,16,6,203,110,69,44
Dodge,Colt,Small,None,Yes,Yes,Front,9.2,29,33,2270,4,1.5,92,6000,3285,13.2,5,174,98,66,32
Dodge,Shadow,Small,Driver,Yes,Yes,Front,11.3,23,29,2670,4,2.2,93,4800,2595,14,5,172,97,67,38
Dodge,Spirit,Compact,Driver,Yes,Yes,Front,13.3,22,27,2970,4,2.5,100,4800,2535,16,6,181,104,68,39
Dodge,Caravan,Van,Driver,Yes,No,All,19,17,21,3705,6,3,142,5000,1970,20,7,175,112,72,42
Dodge,Dynasty,Midsize,Driver,Yes,No,Front,15.6,21,27,3080,4,2.5,100,4800,2465,16,6,192,105,69,42
Dodge,Stealth,Sporty,Driver,Yes,Yes,All,25.8,18,24,3805,6,3,300,6000,2120,19.8,4,180,97,72,40
Eagle,Summit,Small,None,Yes,Yes,Front,12.2,29,33,2295,4,1.5,92,6000,2505,13.2,5,174,98,66,36
Eagle,Vision,Large,Both,Yes,No,Front,19.3,20,28,3490,6,3.5,214,5800,1980,18,6,202,113,74,40
Ford,Festiva,Small,None,Yes,Yes,Front,7.4,31,33,1845,4,1.3,63,5000,3150,10,4,141,90,63,33
Ford,Escort,Small,None,Yes,Yes,Front,10.1,23,30,2530,4,1.8,127,6500,2410,13.2,5,171,98,67,36
Ford,Tempo,Compact,None,Yes,Yes,Front,11.3,22,27,2690,4,2.3,96,4200,2805,15.9,5,177,100,68,39
Ford,Mustang,Sporty,Driver,Yes,Yes,Rear,15.9,22,29,2850,4,2.3,105,4600,2285,15.4,4,180,101,68,40
Ford,Probe,Sporty,Driver,Yes,Yes,Front,14,24,30,2710,4,2,115,5500,2340,15.5,4,179,103,70,38
Ford,Aerostar,Van,Driver,Yes,Yes,All,19.9,15,20,3735,6,3,145,4800,2080,21,7,176,119,72,45
Ford,Taurus,Midsize,Driver,Yes,No,Front,20.2,21,30,3325,6,3,140,4800,1885,16,5,192,106,71,40
Ford,Crown_Victoria,Large,Driver,Yes,No,Rear,20.9,18,26,3950,8,4.6,190,4200,1415,20,6,212,114,78,43
Geo,Metro,Small,None,No,Yes,Front,8.4,46,50,1695,3,1,55,5700,3755,10.6,4,151,93,63,34
Geo,Storm,Sporty,Driver,No,Yes,Front,12.5,30,36,2475,4,1.6,90,5400,3250,12.4,4,164,97,67,37
Honda,Prelude,Sporty,Both,No,Yes,Front,19.8,24,31,2865,4,2.3,160,5800,2855,15.9,4,175,100,70,39
Honda,Civic,Small,Driver,No,Yes,Front,12.1,42,46,2350,4,1.5,102,5900,2650,11.9,4,173,103,67,36
Honda,Accord,Compact,Both,No,Yes,Front,17.5,24,31,3040,4,2.2,140,5600,2610,17,4,185,107,67,41
Hyundai,Excel,Small,None,No,Yes,Front,8,29,33,2345,4,1.5,81,5500,2710,11.9,5,168,94,63,35
Hyundai,Elantra,Small,None,No,Yes,Front,10,22,29,2620,4,1.8,124,6000,2745,13.7,5,172,98,66,36
Hyundai,Scoupe,Sporty,None,No,Yes,Front,10,26,34,2285,4,1.5,92,5550,2540,11.9,4,166,94,64,34
Hyundai,Sonata,Midsize,None,No,Yes,Front,13.9,20,27,2885,4,2,128,6000,2335,17.2,5,184,104,69,41
Infiniti,Q45,Midsize,Driver,No,No,Rear,47.9,17,22,4000,8,4.5,278,6000,1955,22.5,5,200,113,72,42
Lexus,ES300,Midsize,Driver,No,Yes,Front,28,18,24,3510,6,3,185,5200,2325,18.5,5,188,103,70,40
Lexus,SC300,Midsize,Both,No,Yes,Rear,35.2,18,23,3515,6,3,225,6000,2510,20.6,4,191,106,71,39
Lincoln,Continental,Midsize,Both,Yes,No,Front,34.3,17,26,3695,6,3.8,160,4400,1835,18.4,6,205,109,73,42
Lincoln,Town_Car,Large,Both,Yes,No,Rear,36.1,18,26,4055,8,4.6,210,4600,1840,20,6,219,117,77,45
Mazda,323,Small,None,No,Yes,Front,8.3,29,37,2325,4,1.6,82,5000,2370,13.2,4,164,97,66,34
Mazda,Protege,Small,None,No,Yes,Front,11.6,28,36,2440,4,1.8,103,5500,2220,14.5,5,172,98,66,36
Mazda,626,Compact,Driver,No,Yes,Front,16.5,26,34,2970,4,2.5,164,5600,2505,15.5,5,184,103,69,40
Mazda,MPV,Van,None,No,No,All,19.1,18,24,3735,6,3,155,5000,2240,19.6,7,190,110,72,39
Mazda,RX-7,Sporty,Driver,No,Yes,Rear,32.5,17,25,2895,*,1.3,255,6500,2325,20,2,169,96,69,37
Mercedes-Benz,190E,Compact,Driver,No,Yes,Rear,31.9,20,29,2920,4,2.3,130,5100,2425,14.5,5,175,105,67,34
Mercedes-Benz,300E,Midsize,Both,No,No,Rear,61.9,19,25,3525,6,3.2,217,5500,2220,18.5,5,187,110,69,37
Mercury,Capri,Sporty,Driver,Yes,Yes,Front,14.1,23,26,2450,4,1.6,100,5750,2475,11.1,4,166,95,65,36
Mercury,Cougar,Midsize,None,Yes,No,Rear,14.9,19,26,3610,6,3.8,140,3800,1730,18,5,199,113,73,38
Mitsubishi,Mirage,Small,None,No,Yes,Front,10.3,29,33,2295,4,1.5,92,6000,2505,13.2,5,172,98,67,36
Mitsubishi,Diamante,Midsize,Driver,No,No,Front,26.1,18,24,3730,6,3,202,6000,2210,19,5,190,107,70,43
Nissan,Sentra,Small,Driver,No,Yes,Front,11.8,29,33,2545,4,1.6,110,6000,2435,13.2,5,170,96,66,33
Nissan,Altima,Compact,Driver,No,Yes,Front,15.7,24,30,3050,4,2.4,150,5600,2130,15.9,5,181,103,67,40
Nissan,Quest,Van,None,No,No,Front,19.1,17,23,4100,6,3,151,4800,2065,20,7,190,112,74,41
Nissan,Maxima,Midsize,Driver,No,No,Front,21.5,21,26,3200,6,3,160,5200,2045,18.5,5,188,104,69,41
Oldsmobile,Achieva,Compact,None,Yes,No,Front,13.5,24,31,2910,4,2.3,155,6000,2380,15.2,5,188,103,67,39
Oldsmobile,Cutlass_Ciera,Midsize,Driver,Yes,No,Front,16.3,23,31,2890,4,2.2,110,5200,2565,16.5,5,190,105,70,42
Oldsmobile,Silhouette,Van,None,Yes,No,Front,19.5,18,23,3715,6,3.8,170,4800,1690,20,7,194,110,74,44
Oldsmobile,Eighty-Eight,Large,Driver,Yes,No,Front,20.7,19,28,3470,6,3.8,170,4800,1570,18,6,201,111,74,42
Plymouth,Laser,Sporty,None,Yes,Yes,All,14.4,23,30,2640,4,1.8,92,5000,2360,15.9,4,173,97,67,39
Pontiac,LeMans,Small,None,Yes,Yes,Front,9,31,41,2350,4,1.6,74,5600,3130,13.2,4,177,99,66,35
Pontiac,Sunbird,Compact,None,Yes,Yes,Front,11.1,23,31,2575,4,2,110,5200,2665,15.2,5,181,101,66,39
Pontiac,Firebird,Sporty,Both,Yes,Yes,Rear,17.7,19,28,3240,6,3.4,160,4600,1805,15.5,4,196,101,75,43
Pontiac,Grand_Prix,Midsize,None,Yes,Yes,Front,18.5,19,27,3450,6,3.4,200,5000,1890,16.5,5,195,108,72,41
Pontiac,Bonneville,Large,Both,Yes,No,Front,24.4,19,28,3495,6,3.8,170,4800,1565,18,6,177,111,74,43
Saab,900,Compact,Driver,No,Yes,Front,28.7,20,26,2775,4,2.1,140,6000,2910,18,5,184,99,67,37
Saturn,SL,Small,Driver,Yes,Yes,Front,11.1,28,38,2495,4,1.9,85,5000,2145,12.8,5,176,102,68,40
Subaru,Justy,Small,None,No,Yes,All,8.4,33,37,2045,3,1.2,73,5600,2875,9.2,4,146,90,60,32
Subaru,Loyale,Small,None,No,Yes,All,10.9,25,30,2490,4,1.8,90,5200,3375,15.9,5,175,97,65,35
Subaru,Legacy,Compact,Driver,No,Yes,All,19.5,23,30,3085,4,2.2,130,5600,2330,15.9,5,179,102,67,37
Suzuki,Swift,Small,None,No,Yes,Front,8.6,39,43,1965,3,1.3,70,6000,3360,10.6,4,161,93,63,34
Toyota,Tercel,Small,Driver,No,Yes,Front,9.8,32,37,2055,4,1.5,82,5200,3505,11.9,5,162,94,65,36
Toyota,Celica,Sporty,Driver,No,Yes,Front,18.4,25,32,2950,4,2.2,135,5400,2405,15.9,4,174,99,69,39
Toyota,Camry,Midsize,Driver,No,Yes,Front,18.2,22,29,3030,4,2.2,130,5400,2340,18.5,5,188,103,70,38
Toyota,Previa,Van,Driver,No,Yes,All,22.7,18,22,3785,4,2.4,138,5000,2515,19.8,7,187,113,71,41
Volkswagen,Fox,Small,None,No,Yes,Front,9.1,25,33,2240,4,1.8,81,5500,2550,12.4,4,163,93,63,34
Volkswagen,Eurovan,Van,None,No,Yes,Front,19.7,17,21,3960,5,2.5,109,4500,2915,21.1,7,187,115,72,38
Volkswagen,Passat,Compact,None,No,Yes,Front,20,21,30,2985,4,2,134,5800,2685,18.5,5,180,103,67,35
Volkswagen,Corrado,Sporty,None,No,Yes,Front,23.3,18,25,2810,6,2.8,178,5800,2385,18.5,4,159,97,66,36
Volvo,240,Compact,Driver,No,Yes,Rear,22.7,21,28,2985,4,2.3,114,5400,2215,15.8,5,190,104,67,37
Volvo,850,Midsize,Both,No,Yes,Front,26.7,20,28,3245,5,2.4,168,6200,2310,19.3,5,184,105,69,38
